,dates,standard_chicken,standard_electricity,standard_gasoline,standard_inflation,standard_confidence,chicken,electricity,gasoline,inflation,confidence
28,2016-05-31,-0.6067700535535141,-0.8355771587397824,-0.9499136278278404,-0.788533159082893,0.549607626529146,1.489,0.133,2.264,1.0,100.4342
29,2016-06-30,-1.0597340260429928,-0.46033564827318785,-0.8041485208200969,-0.788533159082893,0.48519252791574935,1.408,0.138,2.363,1.0,100.3544
30,2016-07-31,-0.8528245571280454,-0.38528734617986893,-1.007336245739981,-0.8774312604619674,0.4713085718236378,1.445,0.139,2.225,0.8,100.3372
31,2016-08-31,-0.9590753654897753,-0.38528734617986893,-1.1104024830181838,-0.7440841083933557,0.499076484007861,1.426,0.139,2.155,1.1,100.3716
32,2016-09-30,-0.6179543491705383,-0.38528734617986893,-1.0323666176504016,-0.5662879056352068,0.5279744856414336,1.487,0.139,2.208,1.5,100.4074
33,2016-10-31,-0.5340721320428578,-0.7605288566464635,-0.9808334990113009,-0.5218388549456695,0.5841560754095114,1.502,0.134,2.243,1.6,100.477
34,2016-11-30,-0.6682836794471475,-0.9856737629264203,-1.0632864888338627,-0.4773898042561323,0.628633167309231,1.478,0.131,2.187,1.7,100.5321
35,2016-12-31,-0.752165896574828,-0.8355771587397824,-0.9999743716486812,-0.2995936014979833,0.6233863234372108,1.463,0.133,2.23,2.1,100.5256
36,2017-01-31,-1.003812547957872,-0.7605288566464635,-0.8218170186392173,-0.12179739873983439,0.6436472128507035,1.418,0.134,2.351,2.5,100.5507
37,2017-02-28,-0.6962444184897073,-0.6854805545531446,-0.898380509188739,-0.032899297360759826,0.7253365359042714,1.473,0.135,2.299,2.7,100.6519
38,2017-03-31,-0.7577580443833407,-0.7605288566464635,-0.8630435135504982,-0.16624644942937167,0.8131606302543614,1.462,0.134,2.323,2.4,100.7607
39,2017-04-30,-0.8584167049365581,-0.6854805545531446,-0.723167905815795,-0.255144550808446,0.8711987955463769,1.444,0.135,2.418,2.2,100.8326
40,2017-05-31,-0.5508485754683934,-0.5353839503665068,-0.770283900000116,-0.38849170287705787,0.8915404056348148,1.499,0.137,2.386,1.9,100.8578
41,2017-06-30,-0.5620328710854174,-0.16014243989991425,-0.8424302660948575,-0.5218388549456695,0.9176131836450026,1.497,0.142,2.337,1.6,100.8901
42,2017-07-31,-0.5676250188939301,-0.08509413780659533,-0.9248832559174193,-0.4773898042561323,0.9685479295410486,1.496,0.143,2.281,1.7,100.9532
43,2017-08-31,-0.6067700535535141,-0.16014243989991425,-0.7879523978192364,-0.38849170287705787,1.0287655530568292,1.489,0.142,2.374,1.9,101.0278
44,2017-09-30,-0.6570993838301233,-0.16014243989991425,-0.4110244443446687,-0.255144550808446,1.0991539816168228,1.48,0.142,2.63,2.2,101.115
45,2017-10-31,-0.6347307925960751,-0.5353839503665068,-0.6259911678106331,-0.3440426521875206,1.1184462229308683,1.484,0.137,2.484,2.0,101.1389
46,2017-11-30,-0.8192716702769729,-0.6104322524598257,-0.531759179441991,-0.255144550808446,1.1115042448848125,1.451,0.136,2.548,2.2,101.1303
47,2017-12-31,-0.7130208619152442,-0.6104322524598257,-0.6628005382671338,-0.2995936014979833,1.111019920835083,1.47,0.136,2.459,2.1,101.1297
48,2018-01-31,-0.49492709738327384,-0.6854805545531446,-0.5450105528063311,-0.2995936014979833,1.1252267596270105,1.509,0.135,2.539,2.1,101.1473
49,2018-02-28,-0.6682836794471475,-0.6854805545531446,-0.49200505934897,-0.255144550808446,1.1321687376730662,1.478,0.135,2.575,2.2,101.1559
50,2018-03-31,-0.5340721320428578,-0.6854805545531446,-0.49642218380375025,-0.16624644942937167,1.1219172119538847,1.502,0.135,2.572,2.4,101.1432
51,2018-04-30,-0.4837428017662497,-0.7605288566464635,-0.25348033879084503,-0.12179739873983439,1.11771973685628,1.511,0.134,2.737,2.5,101.138
52,2018-05-31,-0.4166370280641048,-0.6104322524598257,-0.0031766196866397944,0.011549753328777255,1.1306350448489328,1.523,0.136,2.907,2.8,101.154
53,2018-06-30,-0.4669663583407128,-0.38528734617986893,0.0071300040411805985,0.05599880401831454,1.1496851241381079,1.514,0.139,2.914,2.9,101.1776
54,2018-07-31,-0.43900561929815307,-0.38528734617986893,-0.05323736350748058,0.05599880401831454,1.1133608204087502,1.519,0.139,2.873,2.9,101.1326
55,2018-08-31,-0.4837428017662497,-0.38528734617986893,-0.06943348650834111,-0.032899297360759826,1.056856347940868,1.511,0.139,2.862,2.7,101.0626
56,2018-09-30,-0.6179543491705383,-0.46033564827318785,-0.05323736350748058,-0.21069550011890895,0.9815439582086698,1.487,0.138,2.873,2.3,100.9693
57,2018-10-31,-0.8584167049365581,-0.6104322524598257,-0.03262411605184045,-0.12179739873983439,0.8945270706081249,1.444,0.136,2.887,2.5,100.8615
58,2018-11-30,-0.5396642798513704,-0.7605288566464635,-0.35065707679600755,-0.255144550808446,0.8324528715683953,1.501,0.134,2.671,2.2,100.7846
59,2018-12-31,-0.7353894531492924,-0.6854805545531446,-0.7290574050888351,-0.38849170287705787,0.8118690994550983,1.466,0.135,2.414,1.9,100.7591
60,2019-01-31,-0.6962444184897073,-0.6854805545531446,-0.913104257371339,-0.5218388549456695,0.8670013204487607,1.473,0.135,2.289,1.6,100.8274
61,2019-02-28,-0.623546496979051,-0.6104322524598257,-0.8188722690026969,-0.5662879056352068,0.9310128156873847,1.486,0.136,2.353,1.5,100.9067
62,2019-03-31,-0.7242051575322682,-0.6854805545531446,-0.5082011823498306,-0.38849170287705787,0.9419908274811432,1.468,0.135,2.564,1.9,100.9203
63,2019-04-30,-0.752165896574828,-0.6854805545531446,-0.10918760660136215,-0.3440426521875206,0.9151108427214218,1.463,0.135,2.835,2.0,100.887
64,2019-05-31,-0.6626915316386348,-0.6104322524598257,-0.012010868596200317,-0.43294075356659506,0.8374575534155566,1.479,0.136,2.901,1.8,100.7908
65,2019-06-30,-0.04196312489379518,-0.38528734617986893,-0.23139471651694504,-0.5218388549456695,0.7339736481243627,1.59,0.139,2.752,1.6,100.6626
66,2019-07-31,-0.19854326353213325,-0.31023904408655,-0.19605772087870424,-0.43294075356659506,0.6133769597428996,1.562,0.14,2.776,1.8,100.5132
67,2019-08-31,-0.4669663583407128,-0.38528734617986893,-0.37421507388816805,-0.4773898042561323,0.5972328247520778,1.514,0.139,2.655,1.7,100.4932
68,2019-09-30,-0.6179543491705383,-0.38528734617986893,-0.4110244443446687,-0.4773898042561323,0.6556745934188659,1.487,0.139,2.63,1.7,100.5656
69,2019-10-31,-0.33275481093642306,-0.6104322524598257,-0.34771232715948713,-0.43294075356659506,0.7686835383546416,1.538,0.136,2.673,1.8,100.7056
70,2019-11-30,-0.9367067742557271,-0.8355771587397824,-0.4257481925272687,-0.2995936014979833,0.8502921407332642,1.43,0.133,2.62,2.1,100.8067
71,2019-12-31,-0.8248638180854856,-0.8355771587397824,-0.4743365615298496,-0.21069550011890895,0.7925768581410644,1.45,0.133,2.587,2.3,100.7352
72,2020-01-31,-1.05414187823448,-0.7605288566464635,-0.5037840578950503,-0.12179739873983439,0.3980141989652909,1.409,0.134,2.567,2.5,100.2464
73,2020-02-29,-1.316972825234547,-0.7605288566464635,-0.653966289357574,-0.21069550011890895,-0.44742186223423275,1.362,0.134,2.465,2.3,99.19904
74,2020-03-31,-1.1044712085110893,-0.7605288566464635,-0.9454965033730601,-0.5662879056352068,-1.3492413148892148,1.4,0.134,2.267,1.5,98.08183
75,2020-04-30,-0.1482139332555252,-0.8355771587397824,-1.5211950573127324,-1.0996765139096538,-1.6305205788343617,1.571,0.133,1.876,0.3,97.73337
76,2020-05-31,-0.4669663583407128,-0.7605288566464635,-1.5167779328579523,-1.1885746152887282,-1.4657616091854968,1.514,0.134,1.879,0.1,97.93748
77,2020-06-30,0.8360040810425999,-0.5353839503665068,-1.2267200936607259,-0.9663293618410419,-1.2421007630225969,1.747,0.137,2.076,0.6,98.21456
78,2020-07-31,0.6402789077446767,-0.5353839503665068,-1.0794826118347225,-0.788533159082893,-1.036222681552103,1.712,0.137,2.176,1.0,98.46961
79,2020-08-31,0.06428768346793362,-0.5353839503665068,-1.0780102370164628,-0.6551860070142812,-0.8609135196867346,1.609,0.137,2.177,1.3,98.68679
80,2020-09-30,-0.31038621970237473,-0.5353839503665068,-1.0544522399243021,-0.6107369563247441,-0.794964728249216,1.542,0.137,2.193,1.4,98.76849
81,2020-10-31,-0.09788460297891592,-0.6854805545531446,-1.1045129837451437,-0.6996350577038185,-0.7856737785619953,1.58,0.135,2.159,1.2,98.78
82,2020-11-30,0.23205211772329584,-0.6104322524598257,-1.2061068462050857,-0.6996350577038185,-0.6938378666666851,1.639,0.136,2.09,1.2,98.89377
83,2020-12-31,0.1313934571700785,-0.6104322524598257,-1.0912616103808028,-0.6107369563247441,-0.580990363080823,1.621,0.136,2.168,1.4,99.03357
84,2021-01-31,-0.014002385851235427,-0.6104322524598257,-0.858626389095718,-0.6107369563247441,-0.35724879624297773,1.595,0.136,2.326,1.4,99.31075
85,2021-02-28,-0.08110815955338033,-0.5353839503665068,-0.6083226699915127,-0.4773898042561323,-0.02659269542838905,1.583,0.137,2.496,1.7,99.72038
86,2021-03-31,-0.3047940718938633,-0.46033564827318785,-0.1739720986048036,-0.07734834805029711,0.23633068703217927,1.543,0.138,2.791,2.6,100.0461
87,2021-04-30,-0.4613742105322014,-0.38528734617986893,-0.10329810732832202,0.6338364629822988,0.43474210606942115,1.515,0.139,2.839,4.2,100.2919
88,2021-05-31,-0.623546496979051,-0.31023904408655,0.09252774350026217,0.9894288684985966,0.557760414699508,1.486,0.14,2.972,5.0,100.4443
89,2021-06-30,-0.6906522706811958,-0.16014243989991425,0.3604999604235878,1.1672250712567458,0.4776047844700621,1.474,0.142,3.154,5.4,100.345
90,2021-07-31,-0.9087460352131661,-0.08509413780659533,0.47681757106613054,1.1672250712567458,0.2854895780792445,1.435,0.143,3.233,5.4,100.107
91,2021-08-31,-0.70183656629822,-0.010045835713276417,0.509209817067851,1.1227760205672082,0.15497231874592515,1.472,0.144,3.255,5.3,99.94531
92,2021-09-30,-0.5228878364258336,-0.010045835713276417,0.5239335652504516,1.1672250712567458,0.008496581974168546,1.504,0.144,3.265,5.4,99.76385
93,2021-10-31,-0.4166370280641048,-0.16014243989991425,0.7006185434416549,1.5228174767730436,-0.17459405295678107,1.523,0.142,3.385,6.2,99.53703
94,2021-11-30,-0.08110815955338033,-0.16014243989991425,0.8434389008128785,1.789511780910267,-0.36863041141150865,1.583,0.142,3.482,6.8,99.29665
95,2021-12-31,0.04751124004239801,-0.16014243989991425,0.7344831642616358,1.8784098822893411,-0.638996240102858,1.606,0.142,3.408,7.0,98.96171
96,2022-01-31,0.1369856049785912,0.21509907056668034,0.7418450383529358,2.1006551357370276,-1.0131850009202017,1.622,0.147,3.413,7.5,98.49815
97,2022-02-28,0.1929070830637107,0.29014737265999924,1.0054001308214817,2.2784513384951763,-1.4520471665107852,1.632,0.148,3.592,7.9,97.95447
98,2022-03-31,0.7073846814468215,0.4402439768466371,2.0655099999687048,2.5451456426324,-1.77088576051209,1.724,0.15,4.312,8.5,97.55948
99,2022-04-30,1.0988350280426669,0.515292278939956,2.0051426324200428,2.4562475412533256,-2.0732492647552476,1.794,0.151,4.271,8.3,97.1849
100,2022-05-31,1.266599462298029,0.7404371852199128,2.4954434469006337,2.5895946933219367,-2.374071004106786,1.824,0.154,4.604,8.6,96.81223
101,2022-06-30,1.277783757915053,1.1907269977798263,3.1639016143906877,2.811839946769623,-2.5349957416953286,1.826,0.16,5.058,9.1,96.61287
102,2022-07-31,1.5797597395747038,1.490920206153102,2.5882030604510153,2.5451456426324,-2.5268994579974295,1.88,0.164,4.667,8.5,96.6229
103,2022-08-31,1.5741675917661926,1.7160651124330586,1.7548389133158377,2.4562475412533256,-2.5075022798059563,1.879,0.167,4.101,8.3,96.64693
104,2022-09-30,1.6412733654683374,1.7160651124330586,1.4309164532986305,2.411798490563788,-2.4273789378464907,1.891,0.167,3.881,8.2,96.74619
105,2022-10-31,1.4846932268299993,1.6410168103397398,1.6296870537637351,2.1895532371161024,-2.2812018675720673,1.863,0.166,4.016,7.7,96.92728
106,2022-11-30,1.3728502706597578,1.415871904059783,1.38968995838735,1.9228589329788783,-2.0608990014872695,1.843,0.163,3.853,7.1,97.2002
107,2022-12-31,1.3001523491491014,1.5659685082464208,0.6579196737121141,1.6561646288416552,-1.813482060685378,1.83,0.165,3.356,6.5,97.50671
108,2023-01-31,1.4399560443619026,1.7911134145263776,0.7992676562650772,1.6117155781521182,-1.6143280114385634,1.855,0.168,3.452,6.4,97.75343
109,2023-02-28,1.6580498088938729,1.7911134145263776,0.890554894997199,1.433919375393969,-1.4813326273841458,1.894,0.168,3.514,6.0,97.91819
110,2023-03-31,1.5126539658725602,1.6410168103397398,0.9450327632728206,0.9894288684985966,-1.3158471716606928,1.868,0.166,3.551,5.0,98.1232
111,2023-04-30,1.54061470491512,1.5659685082464208,1.215949729832666,0.9449798178090595,-1.1665623554005355,1.873,0.165,3.735,4.9,98.30814
112,2023-05-31,1.803445651915187,1.5659685082464208,1.1423309889196647,0.5449383616032242,-1.0219431941527168,1.92,0.165,3.685,4.0,98.4873
113,2023-06-30,1.987986529596086,1.9412100187130155,1.1820851090126858,0.10044785470785181,-0.9522651075323154,1.953,0.17,3.712,3.0,98.57362
114,2023-07-31,1.6412733654683374,1.8661617166196964,1.2115326053778863,0.18934595608692636,-1.0286268660389177,1.891,0.169,3.732,3.2,98.47902
115,2023-08-31,2.0159472686386457,1.9412100187130155,1.5398721898498733,0.4115912095346126,-1.1560928838589777,1.958,0.17,3.955,3.7,98.32111
116,2023-09-30,1.697194843553458,2.0162583208063345,1.588460558852454,0.4115912095346126,-1.2384764047171648,1.901,0.171,3.988,3.7,98.21905
117,2023-10-31,1.8369985387662593,1.8661617166196964,1.2851513462908877,0.18934595608692636,-1.1514756612516044,1.926,0.169,3.782,3.2,98.32683
118,2023-11-30,2.1166059291918633,1.7911134145263776,0.8699416475415588,0.1448969053973891,-0.8890608190432364,1.976,0.168,3.5,3.1,98.65192
119,2023-12-31,1.9991708252131102,1.8661617166196964,0.5592705608886924,0.2782440574660007,-0.6110911027712153,1.955,0.169,3.289,3.4,98.99628
120,2024-01-31,2.1781195550854964,2.16635492499297,0.45914907324701015,0.1448969053973891,-0.46080535014161905,1.987,0.173,3.221,3.1,99.18246
121,2024-02-29,1.9768022339790619,2.16635492499297,0.6623367981668944,0.18934595608692636,-0.4152546732650128,1.951,0.173,3.359,3.2,99.23889
122,2024-03-31,2.200488146319545,2.241403227086289,0.9892040078206213,0.32269310815553803,-0.4776921153420251,1.991,0.174,3.581,3.5,99.16154
123,2024-04-30,1.987986529596086,2.16635492499297,1.2763170973813271,0.2782440574660007,-0.593598932508656,1.953,0.173,3.776,3.4,99.01795
124,2024-05-31,2.3235153981068093,2.316451529179608,1.2453972261978667,0.23379500677646345,-0.6625505330544691,2.013,0.175,3.755,3.3,98.93253
125,2024-06-30,2.289962511255738,2.5415964354595646,1.018651504185822,0.10044785470785181,0.1991184558783311,2.007,0.178,3.601,3.0,100.0
126,2024-07-31,2.183711702894008,2.5415964354595646,1.0495713753692826,0.05599880401831454,0.1991184558783311,1.988,0.178,3.622,2.9,100.0
